#Results,HTTP requests,Query execution time,CPU load,Memory usage
Query 1 - 10 persons - probability 0.0002
423,424,2.486,14.84,193.09
423,424,2.540,15.68,191.95
Query 3 - 1000 persons - probability 0.25
423,518,2.859,15.03,220.86
423,518,2.817,16.15,221.19
423,518,2.952,15.95,222.43
Query 3 - 1000 persons - probability 0.5
423,711,3.754,16.39,300.01
423,711,3.797,14.71,294.20
423,711,3.733,14.91,305.36
Query 3 - 2000 persons - probability 0.0002
853,854,5.854,15.01,324.77
853,854,6.243,13.95,322.45
853,854,5.749,15.76,325.29
Query 3 - 2000 persons - probability 0.25
853,1078,7.416,14.77,396.45
853,1078,6.823,14.37,413.95
853,1078,6.699,15.16,413.42
Query 3 - 2000 persons - probability 0.5
853,1434,8.772,14.56,576.58
853,1434,8.962,14.88,572.87
853,1434,9.301,15.20,574.96
Query 3 - 3500 persons - probability 0.0002
1433,1434,11.667,14.34,536.95
1433,1434,11.242,14.37,535.83
1433,1434,11.726,14.59,537.46
Query 3 - 3500 persons - probability 0.25
1433,1867,16.697,14.24,618.48
1433,1867,19.337,14.56,615.11
1433,1867,14.255,14.43,613.80
Query 3 - 3500 persons - probability 0.5
1433,2509,18.965,14.42,838.09
1433,2509,20.155,14.72,845.36
1433,2509,19.164,14.60,838.74
Query 4 - 10 persons - probability 0.0002
1,1,0.088,11.08,60.33
1,1,0.079,9.69,65.37
1,1,0.081,9.60,65.37
Query 4 - 10 persons - probability 0.25
1,3,0.091,12.64,65.56
1,3,0.094,12.50,65.17
1,3,0.090,14.97,65.16
Query 4 - 10 persons - probability 0.5
1,6,0.104,16.67,65.24
1,6,0.104,7.50,65.29
1,6,0.106,12.85,65.60
Query 4 - 100 persons - probability 0.0002
8,9,0.207,11.24,71.43
8,9,0.232,12.61,71.80
8,9,0.211,11.97,72.27
Query 4 - 100 persons - probability 0.25
8,34,0.304,12.83,76.15
8,34,0.318,16.54,77.08
8,34,0.332,15.29,75.07
Query 4 - 100 persons - probability 0.5
8,50,0.374,16.18,79.64
8,50,0.356,18.12,79.29
8,50,0.370,15.84,80.36
