#Results,HTTP requests,Query execution time,CPU load,Memory usage
Query 1 - 10 persons - probability 0.0002
10,7595,92.138,11.94,2869.26
10,7595,92.138,11.94,2869.26
Query 11 - 3500 persons - probability 0.5
10,17941,143.964,11.71,2300.73
10,17941,143.964,11.71,2300.73
10,17941,143.964,11.71,2300.73
Query 12 - 10 persons - probability 0.0002
0,1,0.077,15.06,61.13
0,1,0.070,10.92,65.33
0,1,0.068,11.58,64.88
Query 12 - 10 persons - probability 0.25
0,7,0.115,10.02,65.19
0,7,0.117,11.55,65.55
0,7,0.145,12.16,65.11
Query 12 - 10 persons - probability 0.5
0,7,0.123,12.60,65.35
0,7,0.120,9.61,65.58
0,7,0.122,11.17,64.88
Query 12 - 100 persons - probability 0.0002
0,11,0.467,13.78,77.25
0,11,0.522,13.84,77.00
0,11,0.456,12.86,77.96
Query 12 - 100 persons - probability 0.25
0,50,0.607,14.17,92.71
0,50,0.658,17.20,88.78
0,50,0.627,14.33,90.12
Query 12 - 100 persons - probability 0.5
0,72,0.746,15.43,99.30
0,72,0.786,13.65,99.53
0,72,0.704,16.37,98.93
Query 12 - 500 persons - probability 0.0002
1,38,3.921,12.90,89.04
1,38,3.918,13.11,89.73
1,38,3.955,13.33,89.05
Query 12 - 500 persons - probability 0.25
1,278,5.263,12.77,148.23
1,278,4.806,13.41,147.77
1,278,4.881,13.00,146.85
Query 12 - 500 persons - probability 0.5
1,686,6.223,12.93,215.80
1,686,6.256,13.86,215.16
1,686,6.359,12.68,211.86
Query 12 - 1000 persons - probability 0.0002
2,86,13.309,12.88,106.17
2,86,14.795,12.86,106.75
2,86,14.894,12.86,107.48
Query 12 - 1000 persons - probability 0.25
2,607,16.925,12.69,258.03
2,607,16.838,12.72,249.51
2,607,18.549,12.74,244.62
Query 12 - 1000 persons - probability 0.5
2,2085,23.137,12.81,362.04
2,2085,23.631,13.20,337.29
2,2085,22.872,13.07,358.18
Query 12 - 2000 persons - probability 0.0002
3,172,65.655,12.60,137.45
3,172,69.756,12.58,137.35
3,172,65.924,12.58,137.86
Query 12 - 2000 persons - probability 0.25
3,1487,73.584,12.66,557.59
3,1487,72.260,12.60,556.74
3,1487,66.849,12.68,555.53
Query 12 - 2000 persons - probability 0.5
3,8208,86.683,12.51,1107.75
3,8208,88.968,12.71,1148.38
3,8208,86.735,12.82,1114.62
Query 12 - 3500 persons - probability 0.0002
3,289,160.354,12.50,186.97
3,289,159.890,12.47,190.35
3,289,159.322,12.49,187.59
Query 12 - 3500 persons - probability 0.25
3,2926,168.114,12.58,594.54
3,2926,169.009,12.67,570.50
3,2926,170.617,12.64,574.95
Query 12 - 3500 persons - probability 0.5
3,22212,240.325,12.46,1826.23
3,22212,242.379,12.49,1830.49
3,22212,261.675,12.56,1829.36
Query 13 - 10 persons - probability 0.0002
1,20,0.254,11.47,74.65
1,20,0.246,11.89,74.50
1,20,0.235,13.29,75.26
Query 13 - 10 persons - probability 0.25
1,20,0.249,10.99,69.18
1,20,0.234,13.24,74.56
1,20,0.240,10.57,69.72
Query 13 - 10 persons - probability 0.5
1,20,0.254,13.04,74.91
1,20,0.247,13.51,74.55
1,20,0.268,14.54,71.82
Query 13 - 100 persons - probability 0.0002
1,199,1.506,14.53,109.11
1,199,1.446,15.93,108.11
1,199,1.480,13.99,108.27
Query 13 - 100 persons - probability 0.25
1,313,1.743,14.01,113.73
1,313,1.763,13.73,113.82
1,313,1.671,13.79,113.70
Query 13 - 100 persons - probability 0.5
1,381,1.990,14.62,125.93
1,381,1.843,13.99,127.10
1,381,1.941,14.29,125.09
Query 13 - 500 persons - probability 0.0002
1,1297,6.392,13.08,287.65
1,1297,6.258,13.27,286.90
1,1297,6.297,13.12,290.52
Query 13 - 500 persons - probability 0.25
1,1481,6.967,12.81,344.57
1,1481,6.779,13.02,346.45
1,1481,6.755,12.98,343.52
Query 13 - 500 persons - probability 0.5
1,1835,7.954,12.91,410.24
1,1835,8.392,12.75,410.36
1,1835,7.832,13.29,409.98
Query 13 - 1000 persons - probability 0.0002
1,2381,11.027,13.50,501.28
1,2381,11.076,13.28,503.16
1,2381,11.090,12.36,501.93
Query 13 - 1000 persons - probability 0.25
1,2742,13.063,13.17,253.29
1,2742,12.266,13.33,270.55
1,2742,12.087,13.25,248.40
Query 13 - 1000 persons - probability 0.5
1,3464,14.170,13.29,677.91
1,3464,14.318,12.66,676.42
1,3464,14.099,13.48,678.38
Query 13 - 2000 persons - probability 0.0002
1,4083,18.717,13.40,810.38
1,4083,18.876,13.42,816.49
1,4083,19.541,13.46,814.78
Query 13 - 2000 persons - probability 0.25
1,4817,21.094,12.58,1013.34
1,4817,21.543,13.13,1020.78
1,4817,20.944,13.45,1018.35
Query 13 - 2000 persons - probability 0.5
1,6137,26.037,12.81,673.77
1,6137,26.973,12.94,682.46
1,6137,25.923,13.08,687.99
Query 13 - 3500 persons - probability 0.0002
1,5990,30.477,13.26,1380.62
1,5990,29.381,13.06,1379.89
1,5990,30.425,13.21,1380.97
Query 13 - 3500 persons - probability 0.25
1,7257,32.677,12.62,1622.83
1,7257,35.501,12.55,1690.43
1,7257,34.839,12.89,1624.35
Query 13 - 3500 persons - probability 0.5
1,9359,40.753,12.29,2435.38
1,9359,41.428,12.69,2435.63
1,9359,41.546,12.56,2429.31
Query 14 - 10 persons - probability 0.0002
0,20,0.100,11.63,65.06
0,20,0.100,13.75,64.82
0,20,0.096,12.11,65.21
Query 14 - 10 persons - probability 0.25
0,20,0.140,9.73,65.75
0,20,0.135,15.93,65.13
0,20,0.139,11.24,65.43
Query 14 - 10 persons - probability 0.5
0,20,0.162,14.34,67.72
0,20,0.156,9.95,65.10
0,20,0.156,12.50,67.84
Query 14 - 100 persons - probability 0.0002
0,197,0.514,12.91,76.45
0,197,0.470,16.16,77.76
0,197,0.458,13.24,77.73
Query 14 - 100 persons - probability 0.25
0,197,0.622,15.67,80.86
0,197,0.634,14.47,81.25
0,197,0.640,16.17,80.43
Query 14 - 100 persons - probability 0.5
0,197,0.715,17.46,90.89
0,197,0.723,14.28,90.05
0,197,0.798,15.16,92.00
Query 14 - 500 persons - probability 0.0002
1,1293,6.128,13.45,297.69
1,1293,6.290,12.92,274.26
1,1293,6.958,14.85,289.46
Query 14 - 500 persons - probability 0.25
1,1531,6.974,13.39,382.44
1,1531,6.984,13.51,366.64
1,1531,6.998,12.95,379.75
Query 14 - 500 persons - probability 0.5
1,1726,7.558,13.59,433.42
1,1726,7.698,13.90,432.46
1,1726,7.632,13.84,431.69
Query 14 - 1000 persons - probability 0.0002
4,4438,25.937,11.03,350.29
4,4438,27.421,11.30,323.41
4,4438,28.056,11.23,619.07
Query 14 - 1000 persons - probability 0.25
4,5098,33.460,11.08,885.57
4,5098,31.152,11.38,844.45
4,5098,29.579,11.66,551.08
Query 14 - 1000 persons - probability 0.5
4,6074,35.812,10.75,1219.13
4,6074,42.521,10.08,690.43
4,6074,34.339,10.81,1199.57
Query 14 - 2000 persons - probability 0.0002
7,10296,59.605,11.19,1483.86
7,10296,61.648,11.04,1479.40
7,10296,61.648,11.04,1479.40
Query 14 - 2000 persons - probability 0.25
7,12083,67.745,11.13,840.30
7,12083,67.745,11.13,840.30
7,12083,67.745,11.13,840.30
Query 14 - 2000 persons - probability 0.5
7,15596,83.055,10.67,2018.85
7,15596,83.055,10.67,2018.85
7,15596,83.055,10.67,2018.85
Query 14 - 3500 persons - probability 0.0002
10,17084,117.918,11.32,372.21
10,17084,117.918,11.32,372.21
10,17084,117.918,11.32,372.21
Query 14 - 3500 persons - probability 0.25
10,20912,130.464,11.23,1921.64
10,20912,130.464,11.23,1921.64
10,20912,130.464,11.23,1921.64
Query 14 - 3500 persons - probability 0.5
10,25442,154.698,11.02,2471.32
10,25442,154.698,11.02,2471.32
10,25442,154.698,11.02,2471.32
Query 15 - 10 persons - probability 0.0002
0,10,0.098,13.90,62.85
0,10,0.096,12.24,64.98
0,10,0.095,14.47,65.24
Query 15 - 10 persons - probability 0.25
0,11,0.124,11.00,65.34
0,11,0.130,10.48,64.90
0,11,0.169,11.47,65.48
Query 15 - 10 persons - probability 0.5
0,12,0.132,11.75,65.67
0,12,0.137,12.77,64.67
0,12,0.131,13.35,65.10
Query 15 - 100 persons - probability 0.0002
0,100,0.451,14.27,76.10
0,100,0.437,14.76,75.93
0,100,0.454,14.59,76.64
Query 15 - 100 persons - probability 0.25
0,105,0.527,15.18,76.42
0,105,0.480,14.22,76.05
0,105,0.495,13.38,76.22
Query 15 - 100 persons - probability 0.5
0,124,0.623,13.48,77.20
0,124,0.572,14.69,77.11
0,124,0.591,15.50,76.61
Query 15 - 500 persons - probability 0.0002
0,1000,1.725,14.14,91.39
0,1000,1.865,14.23,89.75
0,1000,1.851,14.66,91.79
Query 15 - 500 persons - probability 0.25
0,1034,1.896,14.83,99.16
0,1034,1.947,14.45,98.59
0,1034,1.941,13.78,95.59
Query 15 - 500 persons - probability 0.5
0,1141,2.164,15.61,101.55
0,1141,2.175,14.45,100.48
0,1141,2.153,14.14,100.86
Query 15 - 1000 persons - probability 0.0002
1,3003,15.008,13.12,1012.00
1,3003,14.547,13.67,1010.99
1,3003,14.512,13.61,1012.89
Query 15 - 1000 persons - probability 0.25
1,3284,15.427,13.56,1081.67
1,3284,16.026,13.11,1079.74
1,3284,15.399,13.20,1079.73
Query 15 - 1000 persons - probability 0.5
1,3858,17.164,13.05,1246.21
1,3858,17.419,13.39,1243.93
1,3858,17.213,13.16,1240.59
Query 15 - 2000 persons - probability 0.0002
2,6006,29.559,13.84,2152.64
2,6006,30.665,13.71,2151.69
2,6006,29.166,12.58,1025.68
Query 15 - 2000 persons - probability 0.25
2,6570,32.057,13.11,1010.26
2,6570,30.686,12.63,1015.74
2,6570,31.468,13.13,1021.32
Query 15 - 2000 persons - probability 0.5
2,7816,36.236,13.52,940.18
2,7816,35.668,13.73,879.87
2,7816,36.451,13.48,847.07
Query 15 - 3500 persons - probability 0.0002
2,10507,50.230,13.13,1293.27
2,10507,50.460,13.12,2578.88
2,10507,49.751,13.02,2540.72
Query 15 - 3500 persons - probability 0.25
2,11444,54.243,13.09,1621.78
2,11444,53.925,12.95,1599.81
2,11444,53.034,12.85,1610.14
Query 15 - 3500 persons - probability 0.5
2,13506,79.860,11.25,2413.04
2,13506,79.860,11.25,2413.04
2,13506,79.860,11.25,2413.04
