Query execution time,CPU load,Memory usage,#Results,HTTP requests
Query 3 - 1000 persons - probability 0.01
3.577,10.98,200.23,423,428
3.598,10.75,201.06,423,428
3.620,10.68,207.75,423,428
Query 3 - 1000 persons - probability 0.016
3.687,11.45,204.52,423,431
4.229,10.95,210.95,423,431
4.054,10.50,206.57,423,431
Query 3 - 2000 persons - probability 0.001
7.596,10.70,334.44,853,853
7.395,10.88,338.70,853,853
8.624,10.89,331.25,853,853
Query 3 - 2000 persons - probability 0.01
7.879,10.73,336.70,853,861
7.822,10.61,338.93,853,861
7.844,10.53,335.80,853,861
Query 3 - 2000 persons - probability 0.016
7.877,11.23,342.35,853,868
7.957,10.92,340.92,853,868
8.696,10.89,337.18,853,868
Query 3 - 3500 persons - probability 0.001
14.580,11.24,571.99,1433,1433
14.818,10.86,567.99,1433,1433
14.441,11.32,567.35,1433,1433
Query 3 - 3500 persons - probability 0.01
15.314,11.55,573.75,1433,1448
14.765,10.58,578.77,1433,1448
14.582,10.96,576.63,1433,1448
Query 3 - 3500 persons - probability 0.016
14.799,11.05,574.88,1433,1458
16.238,10.15,577.17,1433,1458
14.443,11.60,576.25,1433,1458
Query 4 - 10 persons - probability 0.001
0.081,14.35,64.37,1,1
0.088,13.35,64.39,1,1
0.088,10.96,64.78,1,1
Query 4 - 10 persons - probability 0.01
0.081,24.23,64.30,1,1
0.085,9.01,64.13,1,1
0.081,12.04,64.50,1,1
Query 4 - 10 persons - probability 0.016
0.082,11.89,63.95,1,1
0.086,8.91,63.99,1,1
0.083,11.75,64.08,1,1
Query 4 - 100 persons - probability 0.001
0.205,11.46,68.59,8,8
0.260,12.02,68.81,8,8
0.196,10.97,68.75,8,8
Query 4 - 100 persons - probability 0.01
0.221,11.43,72.19,8,11
0.207,12.26,70.09,8,11
0.227,16.30,72.39,8,11
Query 4 - 100 persons - probability 0.016
0.246,12.70,72.53,8,12
0.239,10.57,72.64,8,12
0.224,12.11,73.04,8,12
Query 4 - 500 persons - probability 0.001
0.937,14.58,88.23,50,55
